"Youth not in employment, education or training (NEET)"
"15-19 year-olds, % in same age group, 2022"
"Category","Youth not in employment, education or training (NEET)"
"Switzerland",20.355051
"Türkiye",16.681486
"Italy",13.943071
"Mexico",13.711205
"Slovenia",13.63872
"Israel",9.3780403
"United States",8.7131042
"New Zealand",8.3094559
"OECD - Average",8.0212756
"Lithuania",7.7652087
"Czechia",7.6132488
"Spain",7.4801645
"United Kingdom",7.4423256
"Estonia",7.2406626
"Poland",6.99964
"Austria",6.9683018
"France",6.3537278
"Canada",5.9362936
"Slovak Rep.",5.8577275
"Finland",5.8419242
"Hungary",5.7244015
"Australia",5.4183583
"Germany",4.6352549
"Greece",4.3274412
"Portugal",4.122745
"Latvia",4.0660205
"Iceland",3.8305619
"Sweden",3.7097654
"Denmark",3.5908108
"Ireland",3.2328882
"Norway",3.2051282
"Belgium",2.9623804
"Netherlands",1.8115585