"연령계층별",2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.04,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.05,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.06,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.07,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.08,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.09,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.10,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.11,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12,2024.12,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.01,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.02,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.03,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04,2025.04
"연령계층별",인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%),인구 (천명),경제활동인구 (천명),취업자 (천명),실업자 (천명),비경제활동인구 (천명),경제활동참가율 (%),실업률 (%),고용률 (%)
"15세 이상 전체",45539,29578,28693,885,15961,65.0,3.0,63.0,45543,29799,28915,884,15744,65.4,3.0,63.5,45550,29764,28907,857,15786,65.3,2.9,63.5,45590,29594,28857,737,15996,64.9,2.5,63.3,45576,29365,28801,564,16211,64.4,1.9,63.2,45590,29464,28842,622,16125,64.6,2.1,63.3,45607,29525,28847,678,16082,64.7,2.3,63.3,45628,29477,28821,656,16151,64.6,2.2,63.2,45653,29156,28041,1115,16498,63.9,3.8,61.4,45674,28961,27878,1083,16713,63.4,3.7,61.0,45694,29119,28179,940,16575,63.7,3.2,61.7,45708,29507,28589,918,16201,64.6,3.1,62.5,45720,29741,28887,854,15979,65.1,2.9,63.2
"15 - 29세",8200,4070,3792,278,4130,49.6,6.8,46.2,8173,4107,3832,276,4066,50.3,6.7,46.9,8149,4049,3798,251,4101,49.7,6.2,46.6,8150,4014,3791,223,4136,49.2,5.5,46.5,8112,3952,3789,162,4160,48.7,4.1,46.7,8093,3910,3710,199,4183,48.3,5.1,45.8,8078,3900,3685,215,4178,48.3,5.5,45.6,8065,3881,3668,213,4184,48.1,5.5,45.5,8055,3827,3602,225,4229,47.5,5.9,44.7,8051,3840,3609,230,4212,47.7,6.0,44.8,8035,3826,3557,269,4209,47.6,7.0,44.3,8016,3859,3569,289,4157,48.1,7.5,44.5,7994,3902,3618,283,4092,48.8,7.3,45.3
"15 - 19세",2233,152,139,13,2081,6.8,8.6,6.2,2230,180,166,14,2051,8.1,7.5,7.4,2228,169,156,13,2059,7.6,7.8,7.0,2230,176,162,14,2055,7.9,7.7,7.3,2228,171,161,11,2057,7.7,6.1,7.2,2229,148,142,6,2081,6.6,4.2,6.4,2230,143,136,7,2086,6.4,4.8,6.1,2231,124,120,4,2107,5.6,2.8,5.4,2232,125,118,7,2107,5.6,5.3,5.3,2231,144,136,8,2087,6.5,5.5,6.1,2232,141,133,8,2091,6.3,5.9,5.9,2232,141,130,11,2091,6.3,7.7,5.8,2232,152,143,9,2080,6.8,5.9,6.4
"20 - 29세",5967,3919,3654,265,2049,65.7,6.8,61.2,5943,3928,3666,262,2015,66.1,6.7,61.7,5921,3880,3642,238,2042,65.5,6.1,61.5,5920,3838,3629,209,2082,64.8,5.5,61.3,5883,3781,3629,152,2102,64.3,4.0,61.7,5864,3762,3569,193,2102,64.1,5.1,60.9,5848,3757,3548,209,2091,64.2,5.6,60.7,5835,3758,3548,210,2077,64.4,5.6,60.8,5824,3702,3484,218,2122,63.6,5.9,59.8,5821,3695,3473,222,2125,63.5,6.0,59.7,5804,3685,3425,261,2118,63.5,7.1,59.0,5784,3718,3440,279,2066,64.3,7.5,59.5,5761,3750,3475,274,2012,65.1,7.3,60.3
"30 - 39세",6793,5601,5444,157,1192,82.5,2.8,80.1,6793,5604,5441,163,1189,82.5,2.9,80.1,6794,5622,5447,175,1172,82.8,3.1,80.2,6802,5630,5473,157,1172,82.8,2.8,80.5,6805,5597,5461,135,1208,82.2,2.4,80.3,6810,5595,5473,122,1215,82.2,2.2,80.4,6816,5618,5489,129,1198,82.4,2.3,80.5,6822,5631,5504,127,1191,82.5,2.2,80.7,6829,5617,5495,122,1212,82.2,2.2,80.5,6832,5613,5467,146,1219,82.2,2.6,80.0,6840,5645,5488,157,1195,82.5,2.8,80.2,6847,5669,5505,165,1177,82.8,2.9,80.4,6853,5698,5537,161,1155,83.1,2.8,80.8
"40 - 49세",7846,6342,6203,139,1504,80.8,2.2,79.1,7832,6343,6201,143,1488,81.0,2.2,79.2,7818,6356,6206,150,1461,81.3,2.4,79.4,7808,6297,6186,111,1510,80.7,1.8,79.2,7793,6269,6187,82,1524,80.4,1.3,79.4,7780,6285,6191,94,1496,80.8,1.5,79.6,7768,6285,6176,110,1483,80.9,1.7,79.5,7757,6269,6163,106,1488,80.8,1.7,79.5,7745,6253,6140,113,1493,80.7,1.8,79.3,7731,6221,6094,127,1510,80.5,2.0,78.8,7720,6221,6080,141,1499,80.6,2.3,78.8,7707,6260,6120,140,1448,81.2,2.2,79.4,7695,6285,6152,132,1411,81.7,2.1,79.9
"50 - 59세",8656,6839,6689,151,1817,79.0,2.2,77.3,8663,6900,6762,138,1763,79.7,2.0,78.1,8670,6884,6763,121,1786,79.4,1.8,78.0,8667,6841,6741,100,1826,78.9,1.5,77.8,8663,6797,6713,84,1866,78.5,1.2,77.5,8659,6817,6720,97,1842,78.7,1.4,77.6,8655,6838,6722,116,1817,79.0,1.7,77.7,8652,6814,6707,107,1838,78.8,1.6,77.5,8649,6798,6678,120,1851,78.6,1.8,77.2,8643,6732,6613,119,1911,77.9,1.8,76.5,8640,6774,6643,132,1866,78.4,1.9,76.9,8637,6808,6663,145,1830,78.8,2.1,77.1,8634,6817,6674,143,1817,79.0,2.1,77.3
"60세이상",14044,6726,6566,160,7319,47.9,2.4,46.8,14082,6844,6679,165,7238,48.6,2.4,47.4,14120,6853,6694,160,7266,48.5,2.3,47.4,14163,6812,6667,145,7351,48.1,2.1,47.1,14205,6751,6650,101,7454,47.5,1.5,46.8,14247,6858,6749,110,7389,48.1,1.6,47.4,14290,6883,6776,108,7407,48.2,1.6,47.4,14333,6882,6778,104,7451,48.0,1.5,47.3,14375,6662,6126,536,7713,46.3,8.0,42.6,14416,6555,6094,461,7861,45.5,7.0,42.3,14459,6652,6411,242,7807,46.0,3.6,44.3,14502,6912,6732,180,7590,47.7,2.6,46.4,14544,7040,6906,135,7504,48.4,1.9,47.5
"15 - 64세",35700,25648,24834,813,10052,71.8,3.2,69.6,35662,25761,24949,812,9901,72.2,3.2,70.0,35628,25698,24913,786,9930,72.1,3.1,69.9,35620,25535,24855,680,10085,71.7,2.7,69.8,35560,25359,24836,523,10201,71.3,2.1,69.8,35527,25395,24821,574,10131,71.5,2.3,69.9,35497,25425,24793,632,10073,71.6,2.5,69.8,35472,25398,24786,612,10073,71.6,2.4,69.9,35449,25256,24592,663,10194,71.2,2.6,69.4,35424,25099,24385,713,10326,70.9,2.8,68.8,35398,25168,24376,791,10230,71.1,3.1,68.9,35365,25350,24525,825,10016,71.7,3.3,69.3,35330,25484,24689,795,9847,72.1,3.1,69.9
"15 - 24세",4748,1408,1283,124,3340,29.7,8.8,27.0,4728,1425,1328,98,3303,30.1,6.8,28.1,4711,1384,1297,87,3327,29.4,6.3,27.5,4715,1383,1304,79,3332,29.3,5.7,27.7,4684,1349,1289,60,3335,28.8,4.4,27.5,4671,1292,1237,55,3379,27.7,4.3,26.5,4660,1286,1217,69,3375,27.6,5.4,26.1,4652,1254,1183,71,3399,26.9,5.6,25.4,4647,1239,1164,75,3408,26.7,6.1,25.0,4649,1261,1185,77,3388,27.1,6.1,25.5,4637,1255,1149,106,3382,27.1,8.5,24.8,4622,1256,1142,113,3367,27.2,9.0,24.7,4605,1260,1163,97,3345,27.4,7.7,25.3
